Source,Target,Type,Weight
@LaLocuraCrece,@MillosFCoficial,Undirected,1
@LaSihuanaba1,@MendezAzahar,Undirected,1
@Langarita2,@zimonrock,Undirected,1
@Lauraggils,@Bancolombia,Undirected,1
@Lauraggils,@Davivienda,Undirected,6
@LeGoBo_,@Davivienda,Undirected,1
@LeGoBo_,@JERobledo,Undirected,1
@LeopoldoDuarteC,@holareserve,Undirected,1
@Liberen_a_Willy,@DaviPlata,Undirected,1
@Liberen_a_Willy,@Davivienda,Undirected,1
@LigaDirectv,@davidbarguil,Undirected,1
@LilodelaVega,@Davivienda,Undirected,1
@LilyMontesR,@Davivienda,Undirected,2
@LizCordoba20,@Davivienda,Undirected,1
@Locorrecto4,@Asnasalvaje,Undirected,1
@Locorrecto4,@Davivienda,Undirected,1
@LuisFer45684347,@BinanceHelpDesk,Undirected,1
@LuisFer45684347,@Edimejia1979,Undirected,1
@LuisFer45684347,@binance,Undirected,1
@MONYRODRIGUEZOF,@Davivienda,Undirected,2
@MONYRODRIGUEZOF,@Falabella_co,Undirected,1
@MONYRODRIGUEZOF,"@s,",Undirected,1
@MONYRODRIGUEZOF,@sicsuper,Undirected,1
@Maaa_masala,@Berzota,Undirected,1
@MabelLaraNews,@Avianca,Undirected,2
@MabelLaraNews,@Davivienda,Undirected,1
@MabelLaraNews,@Rochajaramillo,Undirected,1
@MabelLaraNews,@tripleCIbarguen,Undirected,1
@Manuel_P0rtill0,@DaviEscucha,Undirected,1
@Manuel_P0rtill0,@Davivienda,Undirected,1
@Manuel_P0rtill0,@chivowallet,Undirected,1
@ManuelaEchava15,@Bancolombia,Undirected,1
@ManuelaEchava15,@Davivienda,Undirected,1
@Marcela_Azul,@JuanitoDuque22,Undirected,1
@MarianaBalague7,@petrogustavo,Undirected,1
@Marianiniecheve,@AUGUSTOOCAMPO,Undirected,5
@Marianiniecheve,@BetoSFernandez,Undirected,1
@Marianiniecheve,@Daviplata,Undirected,1
@Marianiniecheve,@Davivienda,Undirected,33
@Marianiniecheve,@FiscaliaCol,Undirected,2
