Source,Target,Type,Weight
@fiscaliacol,@policiacali,undirected,1
@fiscaliacol,@sfcsupervisor,undirected,1
@fiscaliacol,@twitter,undirected,1
@fueledbychangua,@davivienda,undirected,2
@fundacionbd,@andrescepeda,undirected,2
@fundacionbd,@davivienda,undirected,1
@g__________b,@ml_colombia,undirected,1
@gabrielatafur,@davivienda,undirected,1
@gabrielsantoscd,@cedemocratico,undirected,1
@gabsojitosverde,@chivowallet,undirected,1
@gastonvelandia,@fiscaliacol,undirected,1
@gastonvelandia,@sfcsupervisor,undirected,1
@germanayalaosor,@davivienda,undirected,1
@germancrstancho,@davivienda,undirected,1
@germancrstancho,@ivan_abc,undirected,2
@germanr96438901,@ruta_n,undirected,1
@ggutier7,@davivienda,undirected,1
@ghitis,@472colombia,undirected,1
@ginaa1931,@nequi,undirected,1
@ginnita95,@daviempleo,undirected,1
@gleniiaaa,@davivienda,undirected,1
@glorianapacheco,@scotiabank,undirected,1
@gopb15,@davivienda,undirected,1
@grupoaval,@bancoagrario,undirected,1
@grupoaval,@bancofinandina,undirected,1
@grupoaval,@bancolombia,undirected,1
@grupoaval,@bancosantander,undirected,1
@grupoaval,@bco_occidente,undirected,1
@grupoaval,@davidbarguil,undirected,1
@grupoaval,@eltiempo,undirected,1
@guinandsandra,@davivienda,undirected,1
@guinandsandra,@diegofdocaicedo,undirected,1
@guinandsandra,@sfcsupervisor,undirected,2
@gutierrezluis_,@daviplata,undirected,1
@gutierrezluis_,@davivienda,undirected,1
@gutierrezluis_,@gutierrezluis,undirected,1
@handresploz,@revistasemana,undirected,1
@hanso_hasashi_,@cafenofilo,undirected,2
@hec10rl,@bcofalabellaco,undirected,1
@hec10rl,@davivienda,undirected,1
@heliodoptero,@pactocol,undirected,1
@heliodoptero,@roybarreras,undirected,1
@henryfloresst,@camdesantatecla,undirected,1
@henryfloresst,@santateclasv,undirected,1
@higuitaandres,@bancolombia,undirected,1
@higuitaandres,@davivienda,undirected,1
@hsaenzm,@chivowallet,undirected,2
@hsaenzm,@daviescucha,undirected,1
@hsaenzm,@davivienda,undirected,1
@hsaenzm,@fenixulloavp,undirected,1
@hsaenzm,@manuel_p0rtill0,undirected,1
@hugoleonelrojo,@agmethescaf,undirected,1
@hugosal16633467,@marianabalague7,undirected,1
@hugosal16633467,@petrogustavo,undirected,1
@humocolorazul,@davivienda,undirected,1
@humocolorazul,@fueledbychangua,undirected,1
@hypatiahurtado,@elquelosdelata,undirected,1
@hypatiahurtado,@isazuleta,undirected,1
@hyperconectado,@bancofinandina,undirected,1
@hyperconectado,@davivienda,undirected,1
@iam_crisfer,@davivienda,undirected,2
@iam_crisfer,@sfcsupervisor,undirected,2
@ic,@banco_avvillas,undirected,1
@ic,@bancopichincha,undirected,1
@ic,@cooservunal,undirected,1
@iknowyouwantmyk,@marianiniecheve,undirected,1
@ilich2586,@bbva_colombia,undirected,1
@ilich2586,@susanacorreabor,undirected,2
@imadamesoleil,@davivienda,undirected,1
@imadamesoleil,@sfcsupervisor,undirected,1
@ingsis_john,@davivienda,undirected,1
@inkonstante1,@cristoatado,undirected,1
@inkonstante1,@davivienda,undirected,1
@innovabolivar,@priradiotv,undirected,2
@innovabolivar,@ricardocipago,undirected,1
@innovabolivar,@segurosbolivar,undirected,2
@innovabolivar,@troya_noticias,undirected,2
@isalopezgiraldo,@youtube,undirected,1
@isamg6,@alvarouribevel,undirected,1
@isamg6,@cedemocratico,undirected,1
@isamg6,@gabrielsantoscd,undirected,1
@itamaria83,@bancolombia,undirected,1
@itaucol,@bancoagrario,undirected,1
@itaucol,@bancodebogota,undirected,1
@itaucol,@bancofinandina,undirected,1
@itaucol,@bancolombia,undirected,1
@itaucol,@bancosantander,undirected,1
@itaucol,@bco_occidente,undirected,1
@itaucol,@davivienda,undirected,2
@itaucol,@grupoaval,undirected,1
@itaucol,@juank1388,undirected,1
@ivan_abc,@davivienda,undirected,2
@ivan_abc,@germancrstancho,undirected,2
@ivanteacher69,@petrogustavo,undirected,1
@jabp008,@davivienda,undirected,3
@jackematee,@retros_rarezas,undirected,1
@japuna7,@davivienda,undirected,3
@javierhtolosa,@davivienda,undirected,1
@javierhtolosa,@karlaarcila,undirected,1
@javierjmed,@almacenesexito,undirected,2
@javierjmed,@apple,undirected,1
@javierjmed,@bancolombia,undirected,1
@javierjmed,@davivienda,undirected,6
@jcecheverrycol,@_ajaytuque,undirected,1
@jcecheverrycol,@binance,undirected,1
@jcecheverrycol,@caracolradio,undirected,1
@jcecheverrycol,@davivienda,undirected,2
@jcecheverrycol,@elkinsu,undirected,1
@jcortes1967,@sebastiannohra,undirected,1
@jenniferariasf,@angelamrobledo,undirected,1
@jeonpark_jp,@jovenesaccionco,undirected,2
@jeonpark_jp,@prosperidadcol,undirected,2
@jergonzalez,@marianiniecheve,undirected,1
@jerobledo,@davivienda,undirected,1
@jessie_dlp,@davivienda,undirected,2
@jesualmar1,@camara_dorada,undirected,1
@jesualmar1,@ccladorada,undirected,1
@jesualmar1,@crpandemonium,undirected,1
@jesualmar1,@davivienda,undirected,1
@jesualmar1,@sicsuper,undirected,1
@jgstones,@davivienda,undirected,1
@jholuyas_72,@elsanti_mx,undirected,1
@joacoro,@davivienda,undirected,1
@johanam00425654,@davivienda,undirected,2
@johangon_19,@carlos60285427,undirected,1
@johantriana,@davivienda,undirected,1
@johnfredyrico,@davivienda,undirected,1
